"region","species_name","species_qualified","cuid","cu_name_pse","sr_red_prob","sr_yellow_prob","sr_green_prob","percentile_red_prob","percentile_yellow_prob","percentile_green_prob","hist_red","hist_yellow","hist_green","sr_status","percentile_status","psf_status_code_all","psf_status_type","psf_status_code","psf_status"
"West Vancouver Island","Chinook","CK",330,"West Vancouver Island-North (Fall x-1)",NA,NA,NA,21.68,78.32,0,"#FFFFFF","#FFFF00","#FFFFFF",NA,"fair","6, 8",NA,"8","data-deficient"
"West Vancouver Island","Chum","CM",977,"Northwest Vancouver Island",0,0,100,0,41.24,58.76,"#FFFFFF","#FFFFFF","#009900","good","good","8","sr","8","data-deficient"
"West Vancouver Island","Chum","CM",978,"Southwest & West Vancouver Island",0,5.9048,94.0952,88.82,11.18,0,"#CC0000","#FFFFFF","#FFFFFF","good","poor","8","sr","8","data-deficient"
"West Vancouver Island","Coho","CO",913,"Juan de Fuca-Pachena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Coho","CO",914,"West Vancouver Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Coho","CO",915,"Clayoquot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Pink","PKE",918,"West Vancouver Island (even)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Pink","PKE",919,"Northwest Vancouver Island (even)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Pink","PKO",925,"West Vancouver Island (odd)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",945,"Alice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",946,"Canoe Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",947,"Cecilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",948,"Cheewat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",949,"Clayoquot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",950,"Deserted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",951,"Fairy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",952,"Great Central",8.121,89.4261,2.453,98.34,1.66,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
"West Vancouver Island","Sockeye","SEL",953,"Henderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",954,"Hesquiat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",955,"Hobiton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",956,"Jansen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",957,"Kanim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",958,"Kennedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",959,"Maggie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",960,"Megin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",961,"Muchalat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",962,"Muriel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",963,"Nitinat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",964,"O'Connell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",966,"Park River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",967,"Power",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SEL",969,"Sproat",0.1429,10.0952,89.7619,0.06,99.3,0.64,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","1","sr","1","good"
"West Vancouver Island","Sockeye","SEL",970,"William-Brink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SER",972,"West Vancouver Island (river-type)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Sockeye","SER",974,"NW Vancouver Island (river-type)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Steelhead","SH",982,"West Vancouver Island Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"West Vancouver Island","Steelhead","SH",984,"West Vancouver Island Summer",NA,NA,NA,99.96,0.04,0,"#CC0000","#FFFFFF","#FFFFFF",NA,"poor","3, 3","absolute","3","poor"
"Yukon","Chinook","CK",1201,"Big Salmon",3.4524,96.5476,0,99.92,0.08,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
"Yukon","Chinook","CK",1202,"Nordenskiold",0,2.6905,97.3095,6.02,93.18,0.8,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","1, 3","absolute","3","poor"
"Yukon","Chinook","CK",1203,"Pelly",17.6905,82.3095,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
"Yukon","Chinook","CK",1204,"Middle Yukon",0.4762,98.2143,1.3095,93.1,6.9,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
