"scale","abundance_type","region","species","cuid","cu_name_pse","year","perc_anom"
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1994,32.6
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1995,25.2
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1996,54
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1997,72.9
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1998,61.3
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",1999,33.6
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2000,30.3
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2001,51.6
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2002,29.3
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2003,38.2
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2004,61.2
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2005,67.7
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2006,64
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2007,53.5
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2008,66.4
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2009,59.7
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2010,51.8
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2011,28.1
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2012,5.9
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2013,0
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2014,-6.8
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2015,-13.8
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2016,-34.2
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2017,-37.1
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2018,-31.4
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2019,-46.6
"ConservationUnit","spawner","Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",2020,-57.6
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1980,NA
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1981,NA
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1982,NA
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1983,NA
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1984,NA
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1985,-58.5
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1986,-59.2
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1987,-59.2
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1988,-40.2
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1989,-37.9
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1990,-33.6
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1991,-18.4
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1992,-1.5
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1993,26.2
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1994,8.3
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1995,2
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1996,25.3
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1997,16.2
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1998,11.6
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",1999,3.3
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",2000,40.7
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",2001,123.4
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",2002,126
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",2003,146.3
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",2004,164.7
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",2005,159.1
"ConservationUnit","spawner","Skeena","Chinook",221,"Upper Bulkley River",2006,103.7
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1984,NA
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1985,NA
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1986,NA
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1987,NA
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1988,NA
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1989,2.2
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1990,-6.2
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1991,-2.6
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1992,29.8
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1993,40.3
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1994,55.6
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1995,49.9
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1996,92.5
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1997,97.5
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1998,64.6
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",1999,38.4
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2000,23
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2001,28.5
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2002,1.1
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2003,9.6
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2004,33.6
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2005,39.8
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2006,38.8
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2007,28.4
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2008,32.2
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2009,29.8
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2010,18.6
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2011,5.7
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2012,-12.7
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2013,-23
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2014,-21.1
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2015,-23
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2016,-32.2
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2017,-42.6
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2018,-37
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2019,-39.2
"ConservationUnit","spawner","Skeena","Chinook",222,"Middle Skeena-Large Lakes",2020,-47.7
